month,h_pay
2020-01-01,100
2020-02-01,100
2020-03-01,99
2020-04-01,99
2020-05-01,99
2020-06-01,99
2020-07-01,99
2020-08-01,100
2020-09-01,100
2020-10-01,100
2020-11-01,100
2020-12-01,100
2021-01-01,101
2021-02-01,101
2021-03-01,101
2021-04-01,101
2021-05-01,102
2021-06-01,102
2021-07-01,102
2021-08-01,102
2021-09-01,103
2021-10-01,103
2021-11-01,103
2021-12-01,104
2022-01-01,104
2022-02-01,105
2022-03-01,106
2022-04-01,106
2022-05-01,107
2022-06-01,108
2022-07-01,108
2022-08-01,108
2022-09-01,108
2022-10-01,109
2022-11-01,109
2022-12-01,109
2023-01-01,110
2023-02-01,110
2023-03-01,110
2023-04-01,110
2023-05-01,111
2023-06-01,111
2023-07-01,111
